indicador,clase,nombre,detalle,fuente,fuente_link,actualizacion,corte_muestra,unidad,tipo,formula,umbral_optimo,umbral_malo,ods,meta,aue1,aue2,muestra_ods,muestra_aue,le,le2
D-1,Descriptivo AUE,Variación de la población en los últimos diez años disponibles,,,,,,%,QT,,,,,,1;2;3;4;5;6;7;8;9;10,1;2;3;4;5;6;7;8;9;10,,D-1,,
D-2-a,Descriptivo AUE,Superficie de cobertura artificial por municipio,,,,,,%,QT,,,,,,1;3,1;3,,D-2-a,,
D-2-b,Descriptivo AUE,Superficie de cultivos por municipio,,,,,,%,QT,,,,,,1;3,1;3,,D-2-b,,
D-2-d,Descriptivo AUE,Superficie de zona forestal y dehesas por municipio,,,,,,%,QT,,,,,,1;3,1;3,,D-2-d,,
D-3-a,Descriptivo AUE,Superficie municipal destinada a explotaciones agrarias y forestales,,,,,,%,QT,,,,,,1;3,1;3,,D-3-a,,
D-3-b,Descriptivo AUE,Superficie destinada a explotaciones agrarias y forestales respecto al suelo urbano y urbanizable delimitado de la ciudad,,,,,,%,QT,,,,,,1;3,1;3,,D-3-b,,
D-4,Descriptivo AUE,Superficie municipal de suelo no urbanizable,,,,,,%,QT,,,,,,1;10,1;10,,D-4,,
D-5,Descriptivo AUE,Superficie de zonas verdes por cada 1.000 habitantes,,,,,,m2/Hab,QT,,,,,,1;3,1;3,,D-5,,
D-6,Descriptivo AUE,Densidad Urbana,Número de habitantes por hectárea de superficie de suelo urbano,,,,,hab/ha,QT,,,,,,1;2;4;5;6;7;8;9,1;2;4;5;6;7;8;9,,D-6,,
D-7,Descriptivo AUE,Superficie de suelo urbano mixto discontinuo sobre suelo urbano mixto total,,,,,,%,QT,,,,,,1;2;5,1;2;5,,D-7,,
D-8,Descriptivo AUE,Densidad de vivienda por superficie de suelo urbano,,,,,,Viv/Hab,QT,,,,,,1;2;4;5;6;7;8;9,1;2;4;5;6;7;8;9,,D-8,,
D-9,Descriptivo AUE,Compacidad urbana,Superficie construida total por superficie de suelo,,,,,%,QT,,,,,,2;5;6,2;5;6,,D-9,,
D-10-a,Descriptivo AUE,Superficie construida de uso residencial por superficie de suelo,,,,,,%,QT,,,,,,2;5;6,2;5;6,,D-10-a,,
D-10-b,Descriptivo AUE,Superficie construida de uso residencial respecto al total de superficie construida,,,,,,%,QT,,,,,,2;5;6,2;5;6,,D-10-b,,
D-ST-1,Descriptivo AUE,Densidad de viviendas previstas en las áreas de suelo de desarrollo,,,,,,Viv/Hab,QT,,,,,,2;5;6;8,2;5;6;8,,D-ST-1,,
D-ST-2,Descriptivo AUE,Porcentaje de áreas de suelo de desarrollo respecto al total del suelo urbano,,,,,,%,QT,,,,,,1;2;10,1;2;10,,D-ST-2,,
D-ST-3,Descriptivo AUE,Suelo urbanizable delimitado respecto al total del suelo urbano,,,,,,%,QT,,,,,,1;2;10,1;2;10,,D-ST-3,,
D-ST-4,Descriptivo AUE,Porcentaje de áreas de suelo en desarrollo de uso residencial respecto al total de suelo urbano,,,,,,%,QT,,,,,,1;2,1;2,,D-ST-4,,
D-ST-5,Descriptivo AUE,Porcentaje de áreas de suelo en desarrollo de uso actividades económica (industrial o terciario) respecto al total de suelo urbano,,,,,,%,QT,,,,,,1;2;6;7,1;2;6;7,,D-ST-5,,
D-14,Descriptivo AUE,Porcentaje del parque edificatorio por municipio con una antigüedad anterior al año 2000,,,,,,%,QT,,,,,,2;3;4,2;3;4,,D-14,,
D-17-a,Descriptivo AUE,Superficie de infraestructuras de transporte,,,,,,ha,QT,,,,,,1;5,1;5,,D-17-a,,
D-17-b,Descriptivo AUE,Porcentaje de superficie de infraestructuras de transporte respecto al término municipal,,,,,,%,QT,,,,,,1;5,1;5,,D-17-b,,
D-18-a,Descriptivo AUE,Vehículos domiciliados cada 1000 habitantes,,,,,,x 1.000,QT,,,,,,3;5,3;5,,D-18-a,,
D-18-b,Descriptivo AUE,Porcentaje de Turismos,,,,,,%,QT,,,,,,3;5,3;5,,D-18-b,,
D-18-c,Descriptivo AUE,Porcentaje de motocicletas,,,,,,%,QT,,,,,,3;5,3;5,,D-18-c,,
D-18-d,Descriptivo AUE,Antigüedad de parque de vehiculos,,,,,,%,QT,,,,,,3;5,3;5,,D-18-d,,
D-22-a,Descriptivo AUE,Índice de envejecimiento de la población,,,,,,%,QT,,,,,,2;5;6;7;8;9;10,2;5;6;7;8;9;10,,D-22-a,,
D-22-b,Descriptivo AUE,Índice de senectud de la población,,,,,,%,QT,,,,,,2;5;6;7;8;9;10,2;5;6;7;8;9;10,,D-22-b,,
D-23,Descriptivo AUE,Porcentaje de población extranjera,,,,,,%,QT,,,,,,2;6;7,2;6;7,,D-23,,
D-24-a,Descriptivo AUE,Índice de dependencia total,,,,,,%,QT,,,,,,2;6;7,2;6;7,,D-24-a,,
D-24-b,Descriptivo AUE,Índice de dependencia infantil,,,,,,%,QT,,,,,,2;6;7,2;6;7,,D-24-b,,
D-24-c,Descriptivo AUE,Índice de dependencia de mayores,,,,,,%,QT,,,,,,2;6;7,2;6;7,,D-24-c,,
D-26-a,Descriptivo AUE,Trabajadores en sector agricultura,,,,,,%,QT,,,,,,6;7;9,6;7;9,,D-26-a,,
D-26-b,Descriptivo AUE,Trabajadores en sector industria,,,,,,%,QT,,,,,,6;7;9,6;7;9,,D-26-b,,
D-26-c,Descriptivo AUE,Trabajadores en sector construcción,,,,,,%,QT,,,,,,6;7;9,6;7;9,,D-26-c,,
D-26-d,Descriptivo AUE,Trabajadores en sector servicios,,,,,,%,QT,,,,,,6;7;9,6;7;9,,D-26-d,,
D-27-a,Descriptivo AUE,Establecimientos en sector agricultura,,,,,,%,QT,,,,,,7;9,7;9,,D-27-a,,
D-27-b,Descriptivo AUE,Establecimientos en sector industria,,,,,,%,QT,,,,,,7;9,7;9,,D-27-b,,
D-27-c,Descriptivo AUE,Establecimientos en sector construcción,,,,,,%,QT,,,,,,7;9,7;9,,D-27-c,,
D-27-d,Descriptivo AUE,Establecimientos en sector servicios,,,,,,%,QT,,,,,,7;9,7;9,,D-27-d,,
D-28-a,Descriptivo AUE,Porcentaje de parados total,,,,,,%,QT,,,,,,6;7,6;7,,D-28-a,,
D-28-b,Descriptivo AUE,Porcentaje de parados entre 25 y 44 años,,,,,,%,QT,,,,,,6;7,6;7,,D-28-b,,
D-28-c,Descriptivo AUE,Proporción de paro femenino,,,,,,%,QT,,,,,,6;7,6;7,,D-28-c,,
D-29,Descriptivo AUE,Número de viviendas por cada 1.000 habitantes,,,,,,x 1.000,QT,,,,,,2;8,2;8,,D-29,,
D-32,Descriptivo AUE,Variación del número de hogares en los últimos diez años,,,,,,%,QT,,,,,,1;2;8,1;2;8,,D-32,,
D-33,Descriptivo AUE,Crecimiento del parque de vivienda los últimos diez años,,,,,,%,QT,,,,,,1;2;4;8,1;2;4;8,,D-33,,
D-34-a,Descriptivo AUE,Porcentaje de vivienda secundaria,,,,,,%,QT,,,,,,2;8,2;8,,D-34-a,,
D-35,Descriptivo AUE,Porcentaje de vivienda vacía,,,,,,%,QT,,,,,,2;8,2;8,,D-35,,
D-ST-6,Descriptivo AUE,Porcentaje de viviendas previstas en áreas de desarrollo respecto al parque de vivienda existente,,,,,,%,QT,,,,,,1;2;4;8,1;2;4;8,,D-ST-6,,
D-ST-7,Descriptivo AUE,Número de viviendas previstas en las áreas de desarrollo por cada 1.000 habitantes,,,,,,x 1.000,QT,,,,,,1;2;4;8,1;2;4;8,,D-ST-7,,
D-37,Descriptivo AUE,FIGURA DE PLANEAMIENTO URBANÍSTICO VIGENTE EN EL MUNICIPIO,,,,,,,QL,,,,,,1;2;8;10,1;2;8;10,,D-37,,
D-38,Descriptivo AUE,FECHA DE LA FIGURA DE PLANEAMIENTO URBANÍSTICO VIGENTE EN EL MUNICIPIO,,,,,,,QL,,,,,,1;2;8;10,1;2;8;10,,D-38,,
D-30-a,Descriptivo AUE,Número de edificios con una vivienda,,,,,,%,QT,,,,,,2;8,2;8,,D-30-a,,
D-30-b,Descriptivo AUE,Número de edificios con 2 o más viviendas,,,,,,%,QT,,,,,,2;8,2;8,,D-30-b,,
D-34-b,Descriptivo AUE,Porcentaje de vivienda turística,,,,,,%,QT,,,,,,2;8,2;8,,D-34-b,,
D-36,Descriptivo AUE,Accesibilidad a la vivienda,Precio medio de la viviendas respecto de la renta media familiar,,,,,%,QT,,,,,,8,8,,D-36,,
1,Agenda 2030,Porcentaje de población con ingresos inferiores al 40% de la mediana,Proporción de personas cuyos ingresos están por debajo del 40% de la renta mediana nacional. Indicador de pobreza severa que mide la fracción de la población en situación de exclusión económica grave.,INE,https://www.ine.es/dyngs/INEbase/operacion.htm?c=Estadistica_C&cid=1254736177088&menu=resultados&idp=1254735976608,2015-2023,,%,QT,↓ Descendente (menos = mejor),0,23.36,1,1.1,,,1.1.1,,,
3,Agenda 2030,Renta mediana,Valor central de la distribución de ingresos equivalentes de los hogares: el 50% de la población tiene ingresos superiores y el 50% inferiores. Se utiliza como referencia para umbrales de pobreza relativa.,INE,https://www.ine.es/dyngs/INEbase/operacion.htm?c=Estadistica_C&cid=1254736177088&menu=resultados&idp=1254735976608,2015-2023,,€,QT,↑ Ascendente (más = mejor),19950,13650,1,1.2,,,1.2.2,,,
2,Agenda 2030 y AUE,Tasa de pobreza,Proporción de personas con ingresos por unidad de consumo por debajo del 60% de la mediana nacional (escala OCDE modificada). Indicador estándar europeo de pobreza relativa (AROPE).,INE,https://www.ine.es/dyngs/INEbase/operacion.htm?c=Estadistica_C&cid=1254736177088&menu=resultados&idp=1254735976608,2015-2023,,%,QT,↓ Descendente (menos = mejor),0,38.37,1,1.2,6,6.1,1.2.1,6.1.2.b,2,2.1
210,Agenda 2030,Tasa de pobreza infantil,Porcentaje de menores de 18 años que viven en hogares con ingresos por debajo del umbral de pobreza relativa (60% de la mediana nacional).,INE,https://www.ine.es/dyngs/INEbase/operacion.htm?c=Estadistica_C&cid=1254736177088&menu=resultados&idp=1254735976608,2015-2023,,%,QT,↓ Descendente (menos = mejor),0,49.41,1,1.2,,,1.2.3,,,
5,Agenda 2030,Renta Garantizada de Ciudadanía por 10.000 habitantes,Número de personas beneficiarias de la Renta Garantida de Ciudadanía (RGC) por cada 10.000 habitantes del municipio.,IDESCAT,https://www.idescat.cat/pub/?id=ris&n=9549,2018-2024,,x10.000 hab,QT,↑ Ascendente (más = mejor),13.7,220,1,1.3,,,1.3.1,,,
7,Agenda 2030,Proporción de personas con discapacidad que perciben una pensión,Porcentaje de personas con grado de discapacidad reconocido que perciben una pensión no contributiva o contributiva por discapacidad.,IDESCAT,"https://www.idescat.cat/pub/?id=ppsr&n=9383 
https://www.idescat.cat/pub/?id=regdis&n=441 ",2016-2024,,%,QT,↑ Ascendente (más = mejor),1,10,1,1.4,,,1.4.2,,,
8,Agenda 2030,Número de refugios climáticos,"Número de equipamientos municipales habilitados como refugios climáticos de libre acceso para la ciudadanía, por cada 10.000 habitantes.",GENCAT,https://analisi.transparenciacatalunya.cat/Seguretat/Refugis-clim-tics-dels-municipis-de-Catalunya/9gu7-iwci/about_data,2024,,x10.000 hab,QT,↑ Ascendente (más = mejor),84.01,2.72,1,1.5,,,1.5.1,,,
9,Agenda 2030 y AUE,Superficie agrícola ecológica (porcentaje sobre el total agrícola),Porcentaje de la superficie agrícola útil del municipio destinada a producción ecológica certificada.,GENCAT,https://analisi.transparenciacatalunya.cat/Medi-Rural-Pesca/Dades-de-parcel-les-d-explotacions-DUN-de-Cataluny/si4p-ygat/about_data,2023-2025,,ha,QT,↑ Ascendente (más = mejor),26.59,0.19,2,2.4,1,1.1,2.4.1,1.1.3.a,1,1.1
10,Agenda 2030,Tierras agrícolas por 100 habitantes,"Superficie de tierras agrícolas disponible por cada 100 habitantes del municipio, como indicador de la capacidad productiva agrícola local.",GENCAT,https://analisi.transparenciacatalunya.cat/Medi-Rural-Pesca/Dades-de-parcel-les-d-explotacions-DUN-de-Cataluny/si4p-ygat/about_data,2023-2025,,ha x100 hab,QT,↑ Ascendente (más = mejor),67.03,1.3,2,2.3,,,2.3.1,,,
12,Agenda 2030,Porcentaje de hectáreas de explotaciones de pequeña escala,Proporción de la superficie agrícola total ocupada por explotaciones de pequeña escala. Se define explotación de pequeña escala como aquella situada por debajo del percentil 40 de la superficie neta por explotación calculado a nivel de Cataluña por año.,GENCAT,https://analisi.transparenciacatalunya.cat/Medi-Rural-Pesca/Dades-de-parcel-les-d-explotacions-DUN-de-Cataluny/si4p-ygat/about_data,2023-2025,,%,QT,↑ Ascendente (más = mejor),31.71,1.82,2,2.3,,,2.3.3,,,
13,Agenda 2030,Porcentaje de explotaciones de pequeña escala,Proporción del número total de explotaciones agrarias del municipio que se clasifican como explotaciones de pequeña escala (por debajo del percentil 40 de superficie neta por explotación a nivel de Cataluña).,GENCAT,https://analisi.transparenciacatalunya.cat/Medi-Rural-Pesca/Dades-de-parcel-les-d-explotacions-DUN-de-Cataluny/si4p-ygat/about_data,2023-2025,,%,QT,↑ Ascendente (más = mejor),63.83,10.81,2,2.3,,,2.3.4,,,
212,Agenda 2030,Tasa de ocupación en el sector agrícola,Porcentaje de trabajadores afiliados a la Seguridad Social en el sector agrícola (CNAE 01–03) respecto a la población activa del municipio.,TGSS,,2015-2025,,%,QT,↑ Ascendente (más = mejor),9.57,0.06,2,2.3,,,2.3.5,,,
81,Agenda 2030 y AUE,Número de operadores de producción ecológica,Número de operadores inscritos en el Consell Català de la Producció Agrària Ecològica (CCPAE) por cada 10.000 habitantes del municipio.,CCPAE,https://www.ccpae.org/index.php?option=com_content&task=view&id=400&Itemid=232&lang=ca_ES#.YtZvs98p5PZ,2017-2024,,x10.000 hab,QT,↑ Ascendente (más = mejor),252.8736,4,2,2.4,1,1.1,2.4.2,1.1.3.1,1,1.1
219,Agenda 2030,Mortalidad infantil,Número de defunciones de menores de un año por cada 1.000 nacidos vivos en el municipio.,INE,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177007&menu=resultados&secc=1254736195443&idp=1254735573002,2016-2024,,x1.000 nacidos vivos,QT,↓ Descendente (menos = mejor),0,9.75,3,3.2,,,3.2.1,,,
218,Agenda 2030,Defunciones por hepatitis vírica,Tasa de mortalidad por hepatitis vírica (CIE-10: B15–B19) por 100.000 habitantes.,INE,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736176780&menu=ultiDatos&idp=1254735573175,2016-2024,,x100.000 hab,QT,↓ Descendente (menos = mejor),0,5.57,3,3.3,,,3.3.1,,,
224,Agenda 2030,Defunciones por tuberculosis,Tasa de mortalidad por tuberculosis (CIE-10: A15–A19 y B90) por 100.000 habitantes.,INE,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736176780&menu=ultiDatos&idp=1254735573175,2016-2024,,x100.000 hab,QT,↓ Descendente (menos = mejor),0,3.73,3,3.3,,,3.3.2,,,
226,Agenda 2030,Defunciones por sida y VIH,Tasa de mortalidad por sida y enfermedades relacionadas con el VIH (CIE-10: B20–B24 y R75) por 100.000 habitantes.,INE,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736176780&menu=ultiDatos&idp=1254735573175,2016-2024,,x100.000 hab,QT,↓ Descendente (menos = mejor),0,4.09,3,3.3,,,3.3.3,,,
217,Agenda 2030,Defunciones por enfermedades infecciosas del sistema respiratorio,Tasa de mortalidad por enfermedades infecciosas de las vías respiratorias (CIE-10: J09–J18) por 100.000 habitantes.,INE,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736176780&menu=ultiDatos&idp=1254735573175,2016-2024,,x100.000 hab,QT,↓ Descendente (menos = mejor),0,95.52,3,3.4,,,3.4.2,,,
220,Agenda 2030,Defunciones por enfermedades no transmisibles,"Tasa de mortalidad por enfermedades no transmisibles (cardiovasculares, cánceres, diabetes, enfermedades respiratorias crónicas) por 100.000 habitantes.",INE,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736176780&menu=ultiDatos&idp=1254735573175,2016-2024,,x100.000 hab,QT,↓ Descendente (menos = mejor),128.81,1630.19,3,3.4,,,3.4.3,,,
221,Agenda 2030,Defunciones prematuras (menores de 65 años),Tasa de mortalidad por todas las causas en personas menores de 65 años por 100.000 habitantes del mismo grupo de edad.,INE,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736176780&menu=ultiDatos&idp=1254735573175,2016-2024,,x100.000 hab,QT,↓ Descendente (menos = mejor),23.92,402.3,3,3.4,,,3.4.4,,,
222,Agenda 2030,Defunciones por suicidio,Tasa de mortalidad por lesiones autoinfligidas intencionalmente (CIE-10: X60–X84) por 100.000 habitantes.,INE,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736176780&menu=ultiDatos&idp=1254735573175,2016-2024,,x100.000 hab,QT,↓ Descendente (menos = mejor),0,13.84,3,3.4,,,3.4.5,,,
225,Agenda 2030,Defunciones por tumores del sistema respiratorio,Tasa de mortalidad por tumores malignos del sistema respiratorio (CIE-10: C33–C34) por 100.000 habitantes.,INE,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736176780&menu=ultiDatos&idp=1254735573175,2016-2024,,x100.000 hab,QT,↓ Descendente (menos = mejor),9.53,160.57,3,3.4,,,3.4.6,,,
216,Agenda 2030,Defunciones por abuso de alcohol y drogas,Tasa de mortalidad por trastornos mentales y de comportamiento debidos al uso de sustancias psicoactivas (CIE-10: F10–F19) por 100.000 habitantes.,INE,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736176780&menu=ultiDatos&idp=1254735573175,2016-2024,,x100.000 hab,QT,↓ Descendente (menos = mejor),0,3.06,3,3.5,,,3.5.1,,,
16,Agenda 2030,Tasa de mortalidad por accidentes de tráfico,"Tasa de mortalidad por accidentes de vehículos de motor registrados en el municipio, por 100.000 habitantes.",DGT,https://www.dgt.es/menusecundario/dgt-en-cifras/dgt-en-cifras-resultados/dgt-en-cifras-detalle/Datos-municipales-siniestralidad-2023/,2017-2023,,x100.000 hab,QT,↓ Descendente (menos = mejor),0,16.8,3;11,3.6;11.2,,,3.6.1;11.2.1,,,
227,Agenda 2030,Fecundidad adolescente,Número de nacidos vivos de madres entre 15 y 19 años por 1.000 mujeres del mismo grupo de edad.,INE,https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177007&menu=resultados&secc=1254736195443&idp=1254735573002,2016-2024,,x1.000 mujeres,QT,↓ Descendente (menos = mejor),0,6.67,3,3.7,,,3.7.1,,,
231,Agenda 2030,Población con nivel educativo máximo de educación secundaria,Porcentaje de la población de 25 a 64 años con nivel educativo máximo de educación secundaria obligatoria.,IDESCAT,https://www.idescat.cat/pub/?id=censph&n=7,2021-2023,,%,QT,↓ Descendente (menos = mejor),0,58.31,4,4.1,,,4.1.1,,,
229,Agenda 2030,Acceso a los servicios de educación preescolar,Número de plazas de educación infantil de primer ciclo (0–3 años) disponibles por cada 100 niños del municipio.,INE,https://www.ine.es/dynt3/inebase/index.htm?padre=1730&capsel=11586,2022-2023,,%,QT,↑ Ascendente (más = mejor),100,50.15,4,4.2,,,4.2.1,,,
232,Agenda 2030,Población con nivel educativo máximo de segundo ciclo de secundaria,Porcentaje de la población de 25 a 64 años con nivel educativo máximo de bachillerato o ciclos formativos de grado medio.,IDESCAT,https://www.idescat.cat/pub/?id=censph&n=7,2021-2023,,%,QT,↑ Ascendente (más = mejor),25.79,0,4,4.3,,,4.3.1,,,
230,Agenda 2030,Población matriculada en estudios superiores,Porcentaje de la población de 18 a 24 años matriculada en estudios universitarios o de grado superior.,IDESCAT,https://www.idescat.cat/pub/?id=censph&n=7,2021-2023,,x1.000 hab,QT,↑ Ascendente (más = mejor),239.2,3,4,4.4,,,4.4.1,,,
233,Agenda 2030,Población con nivel de educación terciaria o superior,Porcentaje de la población de 25 a 64 años con titulación universitaria o equivalente.,IDESCAT,https://www.idescat.cat/pub/?id=censph&n=7,2021-2023,,%,QT,↑ Ascendente (más = mejor),66.99,15,4,4.4,,,4.4.2,,,
24,Agenda 2030,Índice de paridad en actividades educativas,Ratio entre la tasa de acceso a la educación terciaria de mujeres y la de hombres en el municipio.,IDESCAT,https://www.idescat.cat/pub/?id=censph&n=7,2021-2023,,Ratio,QT,↑ Ascendente (más = mejor),1,0.87,4,4.5,,,4.5.1,,,
25,Agenda 2030,Tasa de alumnos por profesor,Número medio de alumnos por docente en centros educativos de titularidad pública del municipio.,GENCAT,"https://analisi.transparenciacatalunya.cat/Educaci-/Alumnes-matriculats-per-ensenyament-i-unitats-dels/xvme-26kg/about_data
https://analisi.transparenciacatalunya.cat/Educaci-/Personal-docent-en-centres-p-blics-titularitat-del/2ip7-jdgh/about_data",2018-2024,,Ratio,QT,↓ Descendente (menos = mejor),10,20,4,4.a,,,4.a.1,,,
26,Agenda 2030 y AUE,Diferencia de tasa de paro entre mujeres y hombres,Diferencia en puntos porcentuales entre la tasa de paro femenina y la masculina en el municipio.,IDESCAT,https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun,2015-2024,,p. %,QT,↓ Descendente (menos = mejor),0,-18.75,5,5.1,6,6.2,5.1.1,6.2.3.a,2;3;4,2.1;3.2;4.2
27,Agenda 2030,Porcentaje de cargos electos ocupados por mujeres,Proporción de concejales y concejalas de sexo femenino en el consistorio municipal.,IDESCAT,https://www.idescat.cat/pub/?id=afi,2023,,%,QT,↑ Ascendente (más = mejor),50,20,5,5.5,,,5.5.1,,,
28,Agenda 2030 y AUE,Tasa de paro en mujeres,Porcentaje de mujeres en edad activa (16–64 años) en situación de desempleo registrado sobre el total de mujeres activas del municipio.,IDESCAT,https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun,2015-2024,,%,QT,↓ Descendente (menos = mejor),5,28.2,5,5.c,6,6.2,5.c.1,6.2.3.d,2;3;4,2.1;3.2;4.2
29,Agenda 2030 y AUE,Tasa de ocupación en mujeres,Porcentaje de mujeres de entre 16 y 64 años afiliadas a la Seguridad Social respecto al total de mujeres en edad activa del municipio.,TGSS,,2015-2025,,%,QT,↑ Ascendente (más = mejor),70.65637,50,5,5.c,6,6.2,5.c.2,6.2.3.e,2;3;4,2.1;3.2;4.2
30,Agenda 2030,Precio del agua (€/m³),"Precio del agua (en €/m³) incluyendo el precio del suministro, el canon del agua y el alcantarillado.",GENCAT,https://aca.gencat.cat/ca/laca/observatori-del-preu-de-laigua/Preu-per-municipis-i-evolucio/,2015-2025,,€/m³,QT,↓ Descendente (menos = mejor),1.28,2.12,6,6.1,,,6.1.1,,,
31,Agenda 2030 y AUE,Consumo de agua por habitante,Volumen de agua consumida total por habitante y año en el municipio.,GENCAT,https://aca.gencat.cat/ca/laigua/consulta-de-dades/dades-obertes/visualitzacio-interactiva-dades/Consum-aigua-comarques-catalunya/,2015-2024,,l/hab*día,QT,↓ Descendente (menos = mejor),176.92,533.23,6,6.4,4,4.2,6.4.1,4.2.a,5,5.1
32,Agenda 2030,Porcentaje de renta de los hogares destinado a energía,"Gasto en electricidad, gas y otros combustibles sobre la renta disponible de los hogares a nivel municipal. Indicador de vulnerabilidad energética que refleja la proporción de renta que los hogares destinan a cubrir necesidades energéticas básicas.",INE,"https://www.ine.es/dyngs/INEbase/operacion.htm?c=Estadistica_C&cid=1254736177088&menu=resultados&idp=1254735976608
 https://www.ine.es/jaxiT3/files/t/es/csv_bdsc/76141.csv
https://www.ine.es/jaxiT3/files/t/es/csv_bdsc/73992.csv
",2016-2023,,%,QT,↓ Descendente (menos = mejor),2.1089,6.483,7,7.1,,,7.1.1,,,
34,Agenda 2030 y AUE,Consumo de energía en los hogares,Consumo final de energía eléctrica total por habitante en el municipio.,GENCAT,https://analisi.transparenciacatalunya.cat/Energia/Consum-d-energia-el-ctrica-per-municipis-i-sectors/8idm-becu,2015-2024,,kwh/hab,QT,↓ Descendente (menos = mejor),2518.3,10806.92,7,7.3,4,4.1,7.3.1,4.1.2.a,5,5.1
35,Agenda 2030,Producto interior bruto por habitante,"Valor total de bienes y servicios producidos en el municipio por habitante, en euros corrientes.",IDESCAT,https://www.idescat.cat/pub/?id=pibc&n=21925&hist=taules%2Fv2%2Fpibc%2F21925%2F26069%2Fmun%2Fdata%5Ec%3D0%2Fr%3D1%2Ft%3D2%2C1%3B-1c%3B-0%2C0%2C1%2C2%2C3%2Fe%3D1,2015-2024,,€,QT,↑ Ascendente (más = mejor),49950,13977.6,8,8.2,,,8.2.1,,,
245,Agenda 2030 y AUE,Índice de dependencia por sector de ocupación,"Índice sintético que mide el grado de dependencia de un municipio respecto a uno o pocos sectores de ocupación, combinando la desviación de su estructura productiva en relación con el patrón regional y la intensidad de concentración en el sector dominante.",TGSS,,2016-2025,,Índice,QT,↓ Descendente (menos = mejor),0,1,8,8.2,7,7.1,8.2.2,7.1.2.a,4,4.1;4.2
36,Agenda 2030,Tasa de empleo,Porcentaje de la población de 16 a 64 años afiliada a la Seguridad Social respecto al total de personas en edad activa del municipio.,IDESCAT,https://www.idescat.cat/pub/?id=afi,2015-2025,,%,QT,↑ Ascendente (más = mejor),70.65637,50,8,8.3,,,8.3.1,,,
38,Agenda 2030,Tasa de paro,Porcentaje de la población activa del municipio en situación de desempleo registrado.,IDESCAT,https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun,2015-2024,,%,QT,↓ Descendente (menos = mejor),5,28.2,8,8.3,,,8.3.3,,,
