linea,objetivo,codigo,nombre,descripcion,logro
1,1.1,1.1.1,Reactivació del Pla Director Urbanístic Metropolità (PDU),"Actuació 1.1.1.1        Seguir els avenços de la Generalitat i l'equip redactor del PDU
Actuació 1.1.1.2        Establir linies comunes entre els municipis de l'àmbit territorial de l'actuació
Actuació 1.1.1.3        Fer valer la veu del territori en el procés de redacció del PDU",1
1,1.1,1.1.2,Programa per desenvolupar ordenadament usos dels sòl,"Actuació 1.1.2.1	Impulsar l’elaboració d’un Pla dels espais agraris per garantir-ne la protecció i la funcionalitat territorial
Actuació 1.1.2.2.	Impulsar l’elaboració d’un Pla de sòls estratègics per activitats de valor afegit
Actuació 1.1.2.3.	Elaborar una Estratègia per abordar la dispersió urbana i fomentar la reutilització del sòl
Actuació 1.1.2.4.	Coordinar polítiques públiques municipals per equilibrar els usos habitacionals i turístics
Actuació 1.1.2.5	Elaborar un Pla metropolità d'equipaments garantint proximitat, equilibri i multifuncionalitat",1
1,1.2,1.2.1,Optimització de la xarxa de busos interurbans,"Actuació 1.2.1.1.	Millorar l'accés a la informació d'horaris i freqüències
Actuació 1.2.1.2.	Desplegar els serveis digitals de mobilitat (MOT) en la fase inicial a l’àmbit metropolità
Actuació 1.2.1.3.	Analitzar les possibilitats de flexibilització del servei de transport de viatgers per carretera
Actuació 1.2.1.4.	Seguir el procés de renovació de contractes",1
1,1.2,1.2.2,"Xarxa metropolitana de vies ciclables, mobilitat activa i espais públics","Actuació 1.2.2.1.	Elaborar el Pla Director de la Xarxa Ciclable Metropolitana
Actuació 1.2.2.2.	Elaborar el programa de millora de camins intermunicipals i itineraris verds
Actuació 1.2.2.3.	Elaborar el Projecte d'impuls d'itineraris urbans saludables i adaptats al confort climàtic
Actuació 1.2.2.4.	Impulsar programes pilot de pacificació de la xarxa viària
Actuació 1.2.2.5.	Impulsar un programa de foment d'espais públics inclusius",1
1,1.2,1.2.3,Impuls de l'Autoritat Territorial de la Mobilitat del Camp de Tarragona,"Actuació 1.2.3.1.	Redactar un estudi de mobilitat metropolitana integral
Actuació 1.2.3.2.	Elaborar un mapa intermodal i documents de diagnosi de la mobilitat des del territori: 
Actuació 1.2.3.3.	Establir una estratègia de representació davant l'Administració General de l'Estat per tal de defensar les necessitats d'inversió en infraestructures de transport",1
1,1.2,1.2.4,Pla de foment d’alternatives al vehicle privat,"Actuació 1.2.4.1. 	Analitzar els serveis actuals i de les necessitats futures per poder articular la taula metropolitana de coordinació del taxi i serveis a demanda
Actuació 1.2.4.2.	Elaborar un programa de mobilitat metropolitana integral que inclogui: mobilitat compartida, intermodalitat i aparcaments
Actuació 1.2.4.3. 	Elaborar un programa de mobilitat laboral coordinada amb empreses i polígons",1
1,1.2,1.2.5,Projecte Tramvia del Camp de Tarragona (TramCamp),"Actuació 1.2.5.1.	Seguir del desplegament del projecte
Actuació 1.2.5.2.	Acompanyar el territori per maximitzar els impactes positius ",1
1,1.3,1.3.1,Observatori metropolità de dades i indicadors de l’àrea metropolitana del camp de Tarragona,"Actuació 1.3.1.1.	Centralitzar i seguir indicadors territorials de l'àrea metropolitana
Actuació 1.3.1.2.	Crear una plataforma de dades obertes i magatzem de dades compartides
Actuació 1.3.1.3.	Compartir recursos i fer projectes de gestió de dades obertes a nivell supramunicipal",1
1,1.3,1.3.2,Programa Smart Economy amb suport tècnic mancomunat,"Actuació 1.3.2.1. 	Crear un grup motor supramunicipal especialitzat en administració digital
Actuació 1.3.2.1. 	Articular el procés de millora de plataformes digitals d’informació ciutadana
Actuació 1.3.2.1. 	Fomentar la innovació pública i l'ús de la IA en procediments administratius i tècnics",1
2,2.1,2.1.1,Creació dels laboratoris metropolitans de co-creació d’innovació social,"Actuació 2.1.1.1.	Disposar d’un espai de co-creació
Actuació 2.1.1.2. 	Realitzar un procés de recerca i identificació de persones, entitats i projectes que constitueixin exemples positius de lideratge comunitari, igualtat, inclusió social i innovació al territori metropolità. 
Actuació 2.1.1.3. 	Analitzar les necessitats socials emergents detectades en els processos participatius i contrastar-les amb les infraestructures públics existents i amb els usos actuals.
Actuació 2.1.1.4.	Crear una comunitat de pràctica centrada en temàtiques sobre innovació social:",1
2,2.1,2.1.2,Creació de la xarxa metropolitana d'inclusió i cohesió social,"Actuació 2.1.2.1.	Crear una plataforma o espai estable de treball 
Actuació 2.1.2.2.	Coordinar les oficines d'assistència per a l'accés de les persones grans o col·lectius vulnerables als tràmits i recursos electrònics de les administracions
Actuació 2.1.2.3.	Redactar un protocol d’acompanyament per l’accés a prestacions socials
Actuació 2.1.2.4.	Facilitar l’accés a formacions existents per tal d’incrementar el coneixement i la utilització del català com a eina d’inclusió social
Actuació 2.1.2.5.	Capacitar en l'ús de les tecnologies",1
2,2.2,2.2.1,Programa d'impuls metropolità de la promoció d’habitatge públic,"Actuació 2.2.1.1.	Fer un programa de capacitació i intercanvi de coneixement dels equips tècnics municipals en polítiques d'habitatge
Actuació 2.2.1.2.	Realitzar estudis metropolitans en relació a l'habitatge i necessitats residencials
Actuació 2.2.1.5.	Redactar un projecte de detecció i mobilització d'habitatges buits
Actuació 2.2.1.6.	Analitzar fórmules alternatives d'accés a l'habitatge assequible",1
2,2.2,2.2.2,Programa metropolità de rehabilitació residencial i eficiència energètica,"Actuació 2.2.2.1.	Donar continuitat i impulsar projectes de rehabilitació urbana i lloguer assequible
Actuació 2.2.2.2.	Captar fons públics supralocals per a la regeneració urbana
Actuació 2.2.2.3.	Elaborar un pla metropolità d'accessibilitat i eliminació de barreres arquitectòniques 
Actuació 2.2.2.5.	Crear una finestreta única per a la rehabilitació d'habitatges",1
3,3.1,3.1.1,Programa per la posada en valor del paisatge i el territori com un vector de desenvolupament,"Actuació 3.1.1.1.	Accions de sensibilització per posar en valor el paisatge cultural
Actuació 3.1.1.2.	Accions de formació i capacitació dirigides al personal tècnic de les administracions locals i entitats i privades",1
3,3.1,3.1.2,Programa per la posada en valor del patrimoni cultural (material i immaterial),"Actuació 3.1.2.1. 	Accions de sensibilització per posar en valor el patrimoni cultural material i immaterial 
Actuació 3.1.2.2. 	Accions de formació i capacitació dirigides a administracions locals i entitats privades",1
3,3.2,3.2.1,Marc metropolità de drets culturals i accés a la cultura,Actuació 3.2.1.1.	Definir un mecanisme permanent de treball a l’entorn de la cultura metropolitana que estableixi els eixos prioritaris d'actuació,1
3,3.2,3.2.2,Creació de l’Agenda Cultural Metropolitana del Camp de Tarragona,"Actuació 3.2.2.1.	Crear un espai estable de relació dels agents i actors culturals de l'espai metropolità
Actuació 3.2.2.2.	Crear un programa de dinamització i aprofitament dels equipaments culturals de l’espai metropolità
Actuació 3.2.2.3.	Crear una agenda cultural metropolitana compartida en una aplicació digital accessible
Actuació 3.2.2.4.	Crear un programa per a l'impuls i la cocreació de projectes culturals comunitaris i amb participació local
Actuació 3.2.2.5.	Campanya de comunicació de referents culturals i socials de l'AMCT",1
4,4.1,4.1.1,Creació de l'agència metropolitana de competitivitat i innovació,"Actuació 4.1.1.1.	Analitzar i definir a nivell funcional l'Agència Metropolitana de Competitivitat i Innovació
Actuació 4.1.1.2.	Fer accions coordinades de projecció exterior i diplomàcia econòmica
Actuació 4.1.1.3.	Elaborar un programa de captació d'inversió i empreses
Actuació 4.1.1.4.	Fer taules metropolitanes de concertació econòmica sectorial
Actuació 4.1.1.5.	Millorar l'eficiència administrativa pel teixit econòmic
Actuació 4.1.1.6.	Crear una Xarxa de Serveis de suport a l'Emprenedoria",1
4,4.1,4.1.2,Impuls del Sistema Metropolità d'Innovació,"Actuació 4.1.2.1.	Mapejar les cadenes de valor i sectors emergents del teixit productiu metropolità
Actuació 4.1.2.2.	Articular la Xarxa de col·laboració entre administració, clústers, empreses i sistema de coneixement
Actuació 4.1.2.3.	Elaborar un Programa Sandbox metropolità",1
4,4.1,4.1.3,L’AMCT aposta pel talent,"Actuació 4.1.3.1.	Establir connexions i transferència entre agents del coneixement i activitats socioeconòmiques i l'administració
Actuació 4.1.3.2.	Crear un espai permanent per articular propostes i elevarles (podria ser l'Agència) 
Actuació 4.1.3.3.	Fomentar l'ocupació de qualitat",1
4,4.2,4.2.1,Programa de suport al sector primari i agroalimentari local,"Actuació 4.2.1.1.	Pla de dinamització i potenciació dels projectes existent
Actuació 4.2.1.2.	Bioeconomia. Linia europea oberta d'actuacions en l'àmbit rural. 
Actuació 4.2.1.3.	Creació d’una Oficina Conjunta d’Alimentació Sostenible
Actuació 4.2.1.4.	Creació d’un Centre metropolità d’Innovació Territorial (CIT)",1
4,4.3,4.3.1,Regeneració i transformació dels espais industrials i polígons (PAE 4.0),"Actuació 4.3.1.1.	Elaborar un programa de regeneració d’espais industrials
Actuació 4.3.1.2.	Fer un estudi d'instal·lació de renovables en sòl urbà i industrial: necessitats presents i futures d'energia per continuar amb l'activitat. ",1
4,4.4,4.4.1,Programa de suport al teixit comercial i de serveis de proximitat,"Actuació 4.4.1.1. 	Potenciar els oficis i la formació professional vinculada als sectors productius.
Actuació 4.4.1.2.	Millorar la competitivitat del comerç i els serveis de proximitat
Actuació 4.4.1.3.	Donar suport a la creació d'empreses i l'enfortiment del teixit comercial existent",1
4,4.4,4.4.2,Programa de sostenibilitat turística,"Actuació 4.4.2.1.	Elaborar un programa de suport al territori en matèria de desestacionalització i diversificació del turisme
Actuació 4.4.2.2.	Redactar un programa de qualitat en el sector turístic
Actuació 4.4.2.3.	Redactar unes directrius amb mesures de contenció de pressió turística sobre el mercat residencial
Actuació 4.4.2.4.	Desplegar i sensibilitzar sobre la metodologia de Destinacions Turístiques Intel·ligents
Actuació 4.4.2.5.	Elaborar un Pla d'acció climàtica del turisme
Actuació 4.4.2.6.	Calcular la petjada de carboni i la petjada hídrica del turisme
Actuació 4.4.2.7.	Seguir la percepció ciutadana del turisme
Actuació 4.4.2.8.	Elaborar un programa de Legacy en el sector turístic",1
5,5.1,5.1.1,Energia com a palanca per al desenvolupament equilibrat i sostenible del territori,"Actuació 5.1.1.1.	Estudiar les necessitats i requeriments energètics del territotri metropolità
Actuació 5.1.1.2.	Impulsar una empresa metropolitana d’energia
Actuació 5.1.1.3.	Estudiar les oportunitats, necessitats i requeriments d’una xarxa d’Oficines de Transició Comunitària
Actuació 5.1.1.4.	Analitzar les capacitats dels PAE i de les comunitats energètiques per impulsar espais per a l’emmagatzematge distribuït
Actuació 5.1.1.5.	Fer una prova pilot de municipis i entorns comunitaris i empresarials que poden impulsar la generació i l’agregació de la demanda
Actuació 5.1.1.6.	Interlocutar amb les administracions competents en la matèria
Actuació 5.1.1.7.	Fer seguiment i coordinació dels PAESC municipals en matèria de mitigació climàtica",1
5,5.1,5.1.2,Governança metropolitana de l'aigua i la seguretat hídrica,"Actuació 5.1.2.1.	Fer una diagnosi dels recursos hídrics del territori metropolità per cobrir la demanda d’aigua
Actuació 5.1.2.2.	Elaborar un programa de millora i manteniment de la xarxa d’infraestructures hídriques
Actuació 5.1.2.3.	Elaborar un programa de transparència i simplificació en la gestió de l’aigua",1
5,5.1,5.1.3,Pla metropolità de resiliència climàtica i gestió de riscos,"Actuació 5.1.3.1.	Elaborar un pla d’inundabilitat metropolità
Actuació 5.1.3.2.	Analitzar la creació d’una figura de gestió de l’aigua de territori metropolità  (ELA): 
Actuació 5.1.3.3.	Coordinar els plans de protecció civils
Actuació 5.1.3.4.	Estudiar les emissions per identificar les principals fonts de GEI i orientar polítiques de reducció",1
5,5.1,5.1.4,Articulació del sistema metropolità d’infraestructura verda,"Actuació 5.1.4.1.	Definir les Directrius metropolitanes d'infraestructura verda
Actuació 5.1.4.2.	Dissenyar una xarxa d'espais verds i eixos ecològics i recuperació de la connectivitat dels camins i corredors verds/blau
Actuació 5.1.4.3.	Identificar els refugis climàtics naturals i antròpics de l'AMCT",1
5,5.2,5.2.1,Pla metropolità de gestió i ordenació integral dels serveis de residus i economia circular,"Actuació 5.2.1.1.	Configurar un espai de relació intermunicipal per a l'intercanvi de bones pràctiques en la gestió de residus i economia circular
Actuació 5.2.1.2.	Fer un mapeig d'actors, iniciatives i relacions i diagnosi del sistema:
Actuació 5.2.1.3.	Estudiar l'escalabilitat dels projectes i iniciatives per generar un pla de gestió metropolità
Actuació 5.2.1.4.	Fomentar els sistemes de reutilització i retorn
Actuació 5.2.1.5.	Articular mecanismes per a la implementació de la Taxa Justa",1
6,6.1,6.1.1,Definició del model organitzatiu i de les competències metropolitanes,"Actuació 6.1.1.1	Reforçar les institucions per passar de la cooperació voluntària a la capacitat executiva real
Actuació 6.1.1.2	Estudiar el procés d'institucionalització de l'espai metropolità com a àrea metropolitana",1
6,6.2,6.2.1,Creació dùna estructura tècnica específica,"Actuació 6.2.1.1.	Coordinar a nivell tècnic els projectes d’escala metropolitana
Actuació 6.2.1.2.	Impulsar projectes transversals entre municipis
Actuació 6.2.1.4.	Donar suport a la transformació i administració digital compartida",1
6,6.2,6.2.2,Estratègia de comunicació per a la projecció de l'AMCT,"Actuació 6.2.3.1.	Dissenyar i executar un pla de comunicació anual
Actuació 6.2.3.2.	 Produir continguts audiovisuals i gràfics de manera periòdica
Actuació 6.2.3.3.	Organitzar actes públics de presentació i debat ciutadà:
Actuació 6.2.3.4.	Mesurar l’impacte comunicatiu i la percepció ciutadana
Actuació 6.2.3.5.	Configurar un espai estable (panell, fòrum, àgora...): ",1
